SEXVAR,BPHIGH6,TOLDHI3,CVDINFR4,CVDCRHD4,CVDSTRK3,ASTHMA3,CHCSCNC1,CHCOCNC1,CHCCOPD3,ADDEPEV3,CHCKDNY2,HAVARTH4,DIABETE4
1,47.78,43.9,7.79,8.1,4.6,11.92,9.63,12.52,7.62,15.57,5.12,31.09,16.96
2,41.2,42.2,4.17,4.71,4.38,17.64,9.19,13.43,8.98,26.72,5.57,40.56,14.54
